Filename_david	starts_with_el_or_la
2P25_310931112.WAV	1
1P17_411511222.WAV	1
1P19_110931112.WAV	1
2P22_111531122.WAV	1
1P19_111241121.WAV	1
1P19_212742112.WAV	1
1P19_411611222.WAV	1
1P17_311011221.WAV	1
2P5_411821222.WAV	1
2P25_110611212.WAV	1
1P8_110921212.WAV	1
2P24_413532122.WAV	1
1P29_311011221.WAV	1
2P29_311621222.WAV	1
1P19_212032111.WAV	1
1P34_411231121.WAV	1
2P22_113042121.WAV	1
2P22_313032121.WAV	1
1P29_411511222.WAV	1
2P24_310931112.WAV	1
1P7_412412211.WAV	1
2P24_311021221.WAV	1
2P17_311011221.WAV	1
1P29_412932112.WAV	1
1P17_413112221.WAV	1
2P5_211531122.WAV	1
2P22_413012221.WAV	1
2P22_213022221.WAV	1
2P17_814022222.WAV	1
1P29_211531122.WAV	1
2P5_311011221.WAV	1
1P7_313442121.WAV	1
1P8_110831112.WAV	1
2P29_213232121.WAV	1
2P5_411641122.WAV	1
1P29_112412211.WAV	1
2P12_410911212.WAV	1
2P29_410631112.WAV	1
2P5_413112221.WAV	1
2P17_814131211.WAV	1
2P5_312832112.WAV	1
2P5_814131211.WAV	1
2P29_111641122.WAV	1
2P29_411121221.WAV	1
1P8_213832122.WAV	1
1P34_111621222.WAV	1
1P8_111411221.WAV	1
1P17_112942112.WAV	1
1P29_110941112.WAV	1
1P17_110631112.WAV	1
1P17_311631122.WAV	1
1P8_111141121.WAV	1
1P17_110941112.WAV	1
1P17_211621222.WAV	1
1P8_410331111.WAV	1
2P24_211521222.WAV	1
1P29_111121221.WAV	1
1P29_210911212.WAV	1
1P8_211431121.WAV	1
2P29_313042121.WAV	1
1P8_211031121.WAV	1
1P29_410441111.WAV	1
1P7_111421221.WAV	1
1P17_111741122.WAV	1
1P8_211121221.WAV	1
1P17_111341121.WAV	1
1P7_111331121.WAV	1
2P22_112022211.WAV	1
1P8_212942112.WAV	1
1P8_110431111.WAV	1
1P8_411041121.WAV	1
1P29_410931112.WAV	1
1P17_410931112.WAV	1
2P25_411531122.WAV	1
2P24_111541122.WAV	1
1P17_113032121.WAV	1
1P17_210911212.WAV	1
1P17_113832122.WAV	1
2P24_111941122.WAV	1
1P19_211011221.WAV	1
1P7_111911222.WAV	1
1P8_210321211.WAV	1
1P26_411631122.WAV	1
1P34_211421221.WAV	1
1P8_311021221.WAV	1
1P8_310311211.WAV	1
1P8_311111221.WAV	1
1P7_411031121.WAV	1
1P17_111031121.WAV	1
1P17_111611222.WAV	1
1P8_411131121.WAV	1
1P29_311631122.WAV	1
1P26_111621222.WAV	1
1P8_313242121.WAV	1
2P24_111811222.WAV	1
1P7_111511222.WAV	1
2P22_814231122.WAV	1
2P25_112832112.WAV	1
1P17_212112211.WAV	1
1P19_311621222.WAV	1
2P25_110211211.WAV	1
1P8_112922212.WAV	1
2P29_411611222.WAV	1
1P17_213532122.WAV	1
1P29_111921222.WAV	1
1P8_411841122.WAV	1
1P17_111431121.WAV	1
1P7_814212122.WAV	1
1P8_814622121.WAV	1
2P12_112032111.WAV	1
2P25_213432121.WAV	1
1P7_110931112.WAV	1
1P17_113212221.WAV	1
1P19_211631122.WAV	1
2P25_113232121.WAV	1
1P8_311421221.WAV	1
1P26_412032111.WAV	1
1P34_311431121.WAV	1
2P25_210631112.WAV	1
1P29_111741122.WAV	1
1P17_113122221.WAV	1
2P5_113212221.WAV	1
1P7_411341121.WAV	1
1P17_211041121.WAV	1
1P17_311321221.WAV	1
1P26_110911212.WAV	1
2P12_411711222.WAV	1
2P25_410731112.WAV	1
2P25_211741122.WAV	1
2P24_211611222.WAV	1
2P12_213342121.WAV	1
1P8_110341111.WAV	1
1P17_213222221.WAV	1
2P22_211021221.WAV	1
2P29_213322221.WAV	1
1P17_411241121.WAV	1
2P25_113412221.WAV	1
2P17_113432121.WAV	1
1P34_310631112.WAV	1
2P22_413322221.WAV	1
2P22_113222221.WAV	1
2P5_814312111.WAV	1
1P17_310921212.WAV	1
1P7_111731122.WAV	1
1P17_113922222.WAV	1
1P19_112042111.WAV	1
1P17_410041111.WAV	1
2P24_411531122.WAV	1
1P17_212912212.WAV	1
2P25_210231111.WAV	1
1P17_412222211.WAV	1
1P34_312232111.WAV	1
1P7_110621212.WAV	1
1P17_411641122.WAV	1
2P25_112342111.WAV	1
2P25_111011221.WAV	1
2P12_211031121.WAV	1
1P7_112842112.WAV	1
1P17_310741112.WAV	1
2P24_113012221.WAV	1
2P25_211031121.WAV	1
1P8_112832112.WAV	1
1P17_110141111.WAV	1
2P24_311911222.WAV	1
1P17_110411211.WAV	1
1P17_411331121.WAV	1
1P29_213312221.WAV	1
1P17_310431111.WAV	1
1P8_211831122.WAV	1
2P25_310621212.WAV	1
1P17_412712212.WAV	1
1P34_210931112.WAV	1
2P25_211341121.WAV	1
2P22_113532122.WAV	1
1P17_110231111.WAV	1
1P29_211931122.WAV	1
1P7_211321221.WAV	1
2P29_211011221.WAV	1
2P29_111021221.WAV	1
1P29_211131121.WAV	1
2P24_112032111.WAV	1
1P8_110611212.WAV	1
2P5_211041121.WAV	1
1P17_111121221.WAV	1
1P8_210941112.WAV	1
1P17_814231122.WAV	1
1P8_412912212.WAV	1
2P24_111721222.WAV	1
1P17_412932112.WAV	1
2P22_311031121.WAV	1
1P8_113142121.WAV	1
1P8_814212122.WAV	1
1P26_111531122.WAV	1
2P22_213242121.WAV	1
2P25_310221211.WAV	1
2P12_111941122.WAV	1
1P7_110441111.WAV	1
1P8_410641112.WAV	1
2P17_212332111.WAV	1
2P24_111011221.WAV	1
2P22_311521222.WAV	1
1P8_111811222.WAV	1
1P19_113422221.WAV	1
2P17_110411211.WAV	1
2P22_110111211.WAV	1
1P17_110321211.WAV	1
2P25_313422221.WAV	1
1P8_814031222.WAV	1
2P29_212432111.WAV	1
1P17_313322221.WAV	1
1P29_211621222.WAV	1
1P34_411631122.WAV	1
2P25_413532122.WAV	1
2P12_213432121.WAV	1
1P17_213042121.WAV	1
1P34_110241111.WAV	1
1P34_212532112.WAV	1
1P17_112012211.WAV	1
1P19_213942122.WAV	1
2P25_410641112.WAV	1
1P8_110211211.WAV	1
2P17_211531122.WAV	1
2P24_411041121.WAV	1
2P22_310721212.WAV	1
1P17_310031111.WAV	1
1P7_113112221.WAV	1
2P24_113232121.WAV	1
1P17_814722112.WAV	1
2P24_113632122.WAV	1
2P25_411621222.WAV	1
2P22_212532112.WAV	1
1P7_111021221.WAV	1
2P24_211341121.WAV	1
1P7_410631112.WAV	1
1P17_112632112.WAV	1
1P19_311041121.WAV	1
1P29_411731122.WAV	1
1P7_113642122.WAV	1
1P19_310911212.WAV	1
2P24_111141121.WAV	1
2P25_412332111.WAV	1
2P5_313012221.WAV	1
2P22_111131121.WAV	1
1P17_212642112.WAV	1
1P8_411441121.WAV	1
2P5_213932122.WAV	1
2P22_111711222.WAV	1
1P26_110421211.WAV	1
2P24_310131111.WAV	1
1P17_412532112.WAV	1
1P8_210631112.WAV	1
2P22_210131111.WAV	1
1P7_210611212.WAV	1
1P34_110641112.WAV	1
2P17_210911212.WAV	1
1P34_413632122.WAV	1
1P17_310521212.WAV	1
2P22_411631122.WAV	1
2P25_110121211.WAV	1
1P17_313632122.WAV	1
1P34_412432111.WAV	1
1P17_111521222.WAV	1
1P19_112532112.WAV	1
2P22_411011221.WAV	1
1P17_211531122.WAV	1
1P26_111711222.WAV	1
2P24_211431121.WAV	1
2P12_313332121.WAV	1
1P19_211541122.WAV	1
1P17_112412211.WAV	1
2P24_212012211.WAV	1
1P17_110811212.WAV	1
2P22_312542112.WAV	1
1P29_211711222.WAV	1
2P24_313332121.WAV	1
1P17_411021221.WAV	1
2P5_311811222.WAV	1
2P17_313232121.WAV	1
1P29_111031121.WAV	1
2P24_311111221.WAV	1
1P34_410741112.WAV	1
1P34_111041121.WAV	1
1P17_312522212.WAV	1
1P17_410711212.WAV	1
1P7_211541122.WAV	1
1P34_113442121.WAV	1
1P17_211711222.WAV	1
1P7_212742112.WAV	1
1P34_411321221.WAV	1
1P26_110641112.WAV	1
1P19_111331121.WAV	1
1P17_410621212.WAV	1
2P24_311731122.WAV	1
2P24_410331111.WAV	1
2P24_111321221.WAV	1
1P17_113612222.WAV	1
1P17_212422211.WAV	1
1P17_210511212.WAV	1
1P26_210931112.WAV	1
1P19_211721222.WAV	1
2P22_210711212.WAV	1
2P12_111011221.WAV	1
2P24_310531112.WAV	1
1P17_111211221.WAV	1
1P7_211411221.WAV	1
1P34_410611212.WAV	1
2P17_113212221.WAV	1
2P25_411311221.WAV	1
1P17_313232121.WAV	1
2P24_110831112.WAV	1
1P34_411411221.WAV	1
1P8_311821222.WAV	1
1P17_113432121.WAV	1
2P24_311331121.WAV	1
2P17_313542122.WAV	1
2P24_211031121.WAV	1
1P7_212032111.WAV	1
1P17_210331111.WAV	1
2P22_113312221.WAV	1
2P24_110121211.WAV	1
2P24_213922222.WAV	1
1P17_112722212.WAV	1
2P25_112032111.WAV	1
2P24_212232111.WAV	1
1P26_212042111.WAV	1
1P8_310931112.WAV	1
2P17_311631122.WAV	1
1P8_210141111.WAV	1
1P29_213532122.WAV	1
2P12_111141121.WAV	1
1P34_313832122.WAV	1
2P24_310311211.WAV	1
1P17_411821222.WAV	1
2P5_814722112.WAV	1
2P17_313412221.WAV	1
1P7_411521222.WAV	1
2P24_210321211.WAV	1
2P25_111231121.WAV	1
2P25_310131111.WAV	1
1P17_212022211.WAV	1
1P19_111731122.WAV	1
1P8_210231111.WAV	1
2P24_413312221.WAV	1
2P17_312032111.WAV	1
1P34_113132121.WAV	1
1P17_312432111.WAV	1
2P24_411131121.WAV	1
1P19_111021221.WAV	1
1P26_112022211.WAV	1
2P24_410111211.WAV	1
2P29_211141121.WAV	1
1P8_310221211.WAV	1
2P5_110411211.WAV	1
2P25_212812212.WAV	1
2P24_311641122.WAV	1
2P22_111441121.WAV	1
2P25_412912212.WAV	1
2P25_210141111.WAV	1
1P8_110741112.WAV	1
1P17_211131121.WAV	1
1P19_210611212.WAV	1
1P7_112132111.WAV	1
2P25_111631122.WAV	1
1P19_411121221.WAV	1
2P24_210631112.WAV	1
2P29_210341111.WAV	1
2P25_311641122.WAV	1
2P24_410911212.WAV	1
2P29_212122211.WAV	1
2P24_412512212.WAV	1
1P7_111241121.WAV	1
1P7_111821222.WAV	1
1P19_210921212.WAV	1
2P24_210811212.WAV	1
1P19_311531122.WAV	1
1P19_211141121.WAV	1
2P25_410111211.WAV	1
1P34_312942112.WAV	1
2P5_110631112.WAV	1
1P17_814412221.WAV	1
1P17_412312211.WAV	1
1P29_413732122.WAV	1
1P7_411121221.WAV	1
1P34_210311211.WAV	1
1P34_111531122.WAV	1
2P24_213342121.WAV	1
1P17_411111221.WAV	1
1P17_212822212.WAV	1
1P34_210441111.WAV	1
2P24_210231111.WAV	1
1P34_210131111.WAV	1
1P34_311121221.WAV	1
1P17_112812212.WAV	1
2P24_110611212.WAV	1
